0-20-23,0-25-34
0-20-23,0-36-41
0-20-23,0-43-48
0-20-23,1-28-33
0-20-23,1-38-53
0-20-23,1-55-58
0-20-23,1-63-75
0-20-23,1-81-84
0-20-23,1-90-94
0-20-23,1-100-103
0-20-23,1-108-111
0-20-23,1-113-116
0-20-23,1-124-133
0-20-23,2-21-25
0-20-23,2-27-30
0-20-23,2-32-38
0-20-23,3-41-44
0-20-23,3-46-49
0-20-23,3-56-95
0-20-23,3-101-105
0-20-23,3-111-123
0-20-23,3-128-131
0-20-23,4-22-41
0-20-23,4-43-46
0-20-23,4-48-55
0-20-23,4-57-60
0-20-23,4-68-82
0-20-23,4-84-89
0-20-23,4-91-94
0-20-23,5-21-26
0-20-23,6-40-58
0-20-23,6-63-79
0-20-23,7-31-38
0-20-23,7-43-50
0-20-23,7-52-58
0-20-23,7-60-63
0-20-23,7-68-71
0-20-23,7-76-79
0-20-23,7-84-87
0-20-23,7-92-95
0-20-23,8-44-51
0-20-23,8-56-63
0-20-23,8-65-86
0-20-23,8-88-91
0-20-23,9-44-48
0-20-23,9-50-57
0-20-23,9-59-62
0-20-23,9-64-67
0-20-23,9-69-125
0-20-23,9-128-154
0-20-23,9-156-159
0-20-23,9-161-171
0-20-23,9-173-176
0-20-23,9-178-201
0-20-23,10-82-223
0-20-23,10-225-232
0-20-23,10-234-240
0-20-23,10-242-246
0-20-23,11-37-40
0-20-23,11-42-45
0-20-23,11-47-65
0-20-23,11-67-80
0-20-23,11-82-85
0-20-23,11-87-90
0-20-23,11-92-95
0-20-23,11-97-100
0-20-23,11-112-115
0-20-23,11-117-165
0-20-23,12-43-47
0-20-23,12-49-68
0-20-23,12-70-89
0-20-23,12-91-94
0-20-23,12-100-107
0-20-23,12-113-127
0-20-23,12-134-137
0-20-23,13-1-3
0-20-23,13-4-6
0-20-23,13-7-8
0-25-34,0-36-41
0-25-34,0-43-48
0-25-34,1-28-33
0-25-34,1-38-53
0-25-34,1-55-58
0-25-34,1-63-75
0-25-34,1-81-84
0-25-34,1-90-94
0-25-34,1-100-103
0-25-34,1-108-111
0-25-34,1-113-116
0-25-34,1-124-133
0-25-34,2-21-25
0-25-34,2-27-30
0-25-34,2-32-38
0-25-34,3-41-44
0-25-34,3-46-49
0-25-34,3-56-95
0-25-34,3-101-105
0-25-34,3-111-123
0-25-34,3-128-131
0-25-34,4-22-41
0-25-34,4-43-46
0-25-34,4-48-55
0-25-34,4-57-60
0-25-34,4-68-82
0-25-34,4-84-89
0-25-34,4-91-94
0-25-34,5-21-26
0-25-34,6-40-58
0-25-34,6-63-79
0-25-34,7-31-38
0-25-34,7-43-50
0-25-34,7-52-58
0-25-34,7-60-63
0-25-34,7-68-71
0-25-34,7-76-79
0-25-34,7-84-87
0-25-34,7-92-95
0-25-34,8-44-51
0-25-34,8-56-63
0-25-34,8-65-86
0-25-34,8-88-91
0-25-34,9-44-48
0-25-34,9-50-57
0-25-34,9-59-62
0-25-34,9-64-67
0-25-34,9-69-125
0-25-34,9-128-154
0-25-34,9-156-159
0-25-34,9-161-171
0-25-34,9-173-176
0-25-34,9-178-201
0-25-34,10-82-223
0-25-34,10-225-232
0-25-34,10-234-240
0-25-34,10-242-246
0-25-34,11-37-40
0-25-34,11-42-45
0-25-34,11-47-65
0-25-34,11-67-80
0-25-34,11-82-85
0-25-34,11-87-90
0-25-34,11-92-95
0-25-34,11-97-100
0-25-34,11-112-115
0-25-34,11-117-165
0-25-34,12-43-47
0-25-34,12-49-68
0-25-34,12-70-89
0-25-34,12-91-94
0-25-34,12-100-107
0-25-34,12-113-127
0-25-34,12-134-137
0-25-34,13-1-3
0-25-34,13-4-6
0-25-34,13-7-8
0-36-41,0-43-48
0-36-41,1-28-33
0-36-41,1-38-53
0-36-41,1-55-58
0-36-41,1-63-75
0-36-41,1-81-84
0-36-41,1-90-94
0-36-41,1-100-103
0-36-41,1-108-111
0-36-41,1-113-116
0-36-41,1-124-133
0-36-41,2-21-25
0-36-41,2-27-30
0-36-41,2-32-38
0-36-41,3-41-44
0-36-41,3-46-49
0-36-41,3-56-95
0-36-41,3-101-105
0-36-41,3-111-123
0-36-41,3-128-131
0-36-41,4-22-41
0-36-41,4-43-46
0-36-41,4-48-55
0-36-41,4-57-60
0-36-41,4-68-82
0-36-41,4-84-89
0-36-41,4-91-94
0-36-41,5-21-26
0-36-41,6-40-58
0-36-41,6-63-79
0-36-41,7-31-38
